Date,Close,High,Low,Open,Volume
2017-04-25,206.85548400878906,207.2023334323872,206.2137980205294,206.3005169921576,76698300
2017-04-26,206.7253875732422,207.70525629530476,206.68204132265512,206.82077314115497,84702500
2017-04-27,206.89883422851562,207.2023241527077,206.36120044512217,207.04624588851578,57410300
2017-04-28,206.44790649414062,207.18496474801913,206.31782805066376,207.15895170561492,63532800
2017-05-01,206.96810913085938,207.3930107292169,206.55188736461105,206.96810913085938,66882500
2017-05-02,207.04624938964844,207.22834070095143,206.63869405097995,207.10694208293043,57375700
2017-05-03,206.79473876953125,207.14160135864626,206.11837326007554,207.04621580057147,73137700
2017-05-04,207.03756713867188,207.17631219520794,206.18777682243794,207.09827306270273,61462700
2017-05-05,207.8526153564453,207.86996179116474,206.96813242609494,207.41038050699657,62001300
2017-05-08,207.81800842285156,208.04345922726574,207.39310662801898,207.89604755921138,48385700
2017-05-09,207.62721252441406,208.2775650461545,207.28034990727892,208.07812731096178,51363200
2017-05-10,208.0000762939453,208.0000762939453,207.37573681053132,207.58385438215467,54293800
2017-05-11,207.5751953125,207.73995340874978,206.49127439660043,207.54918226903493,62358300
2017-05-12,207.22830200195312,207.6185108276182,206.9594917716384,207.32368755768942,53912700
2017-05-15,208.37295532226562,208.4943539331432,207.63588382171568,207.65323026082854,61918900
2017-05-16,208.1821746826172,208.6937821457131,207.79196582485682,208.66776910395944,51241800
2017-05-17,204.4882049560547,208.1822029323497,204.42749902942148,208.1822029323497,172174100
2017-05-18,205.3119354248047,206.1617255836018,204.14996233090974,204.41010595585502,107047700
2017-05-19,206.6473388671875,207.3150378116319,205.74552254718085,205.7975486306391,115011400
2017-05-22,207.6965789794922,207.86133706388557,207.08958595656034,207.15894524650494,61010600
2017-05-23,208.1561737060547,208.32093180101464,207.68791246443632,208.06945474087902,48341700
2017-05-24,208.64175415039062,208.7458063164518,208.05209433598128,208.39029033859103,46927700
2017-05-25,209.63897705078125,209.91646716338164,208.94527823219389,209.15338258518736,64071700
2017-05-26,209.5956268310547,209.76037169690403,209.37016281097016,209.44820194186562,46629900
2017-05-30,209.41355895996094,209.665022836249,209.11873559287594,209.27481388199428,35201900
2017-05-31,209.36151123046875,209.74305353972326,208.6677991437749,209.70836065808695,91796000
2017-06-01,211.0263671875,211.04371362460992,209.53489115095857,209.8210478217263,68962000
2017-06-02,211.728759765625,211.88485124705335,210.78358396801957,211.0784072611607,88666100
2017-06-05,211.5726776123047,211.84148785882437,211.373226654634,211.55533117436477,44698800
2017-06-06,210.89639282226562,211.5640787768457,210.81834043738058,211.00911163339217,50375400
2017-06-07,211.28646850585938,211.5119192173207,210.56674367165914,211.23444243640307,54144300
2017-06-08,211.3905792236328,211.86750704489805,210.86162531849425,211.38191262013916,65950700
2017-06-09,211.06979370117188,212.4572047871558,209.80376801914588,211.6594404356368,132256400
2017-06-12,211.0263671875,211.0783932673751,210.17657700947908,210.82692947082722,86108100
2017-06-13,212.05828857421875,212.11031466064384,211.21716489312982,211.56401429026786,60067000
2017-06-14,211.7894744873047,212.33576161637254,210.96568402890944,212.32709501261013,78602300
2017-06-15,211.3818817138672,211.50328030230716,210.15921599578732,210.43669281302704,66464900
